,loss,accuracy,balanced_recall,balanced_precision,balanced_f1_score,auc_roc,val_loss,val_accuracy,val_balanced_recall,val_balanced_precision,val_balanced_f1_score,val_auc_roc
0,1.3021256923675537,0.4103230834007263,0.5962270498275757,0.3792392313480377,0.4628966748714447,0.5866178274154663,0.9464493989944458,0.5538221597671509,0.7307281494140625,0.4499257802963257,0.5553857684135437,0.7154289484024048
1,1.1124603748321533,0.4733797013759613,0.6660641431808472,0.41939347982406616,0.5143764615058899,0.6535882949829102,0.8837853670120239,0.5772230625152588,0.7600367069244385,0.49510473012924194,0.598369300365448,0.7492451667785645
2,1.0398783683776855,0.5035429000854492,0.6909048557281494,0.441140741109848,0.5381622910499573,0.685419499874115,0.8414912223815918,0.6073843240737915,0.7970617413520813,0.5151097178459167,0.6245786547660828,0.7716781497001648
3,0.9891833066940308,0.531755805015564,0.7179906964302063,0.4559546709060669,0.5573886036872864,0.7088914513587952,0.8221702575683594,0.6266250610351562,0.7912715673446655,0.5243619680404663,0.6295541524887085,0.7842344045639038
4,0.9511585831642151,0.5480075478553772,0.7300037741661072,0.4690561890602112,0.5707084536552429,0.7251250743865967,0.8116785883903503,0.6359854340553284,0.7955688238143921,0.5193068385124207,0.6272016763687134,0.7929608821868896
5,0.9277206659317017,0.5653643608093262,0.7520610094070435,0.47862666845321655,0.5846266746520996,0.7369915246963501,0.8005592823028564,0.64482581615448,0.801874041557312,0.5235866904258728,0.632251501083374,0.7985436320304871
6,0.9052237272262573,0.5823961496353149,0.7484385967254639,0.4842151701450348,0.5876442193984985,0.7455575466156006,0.7897607088088989,0.652626097202301,0.8010073304176331,0.5337239503860474,0.6393682360649109,0.8038626313209534
7,0.8995497226715088,0.5833712816238403,0.7616111040115356,0.48878318071365356,0.59510737657547,0.7490455508232117,0.7783411741256714,0.6552262306213379,0.8274951577186584,0.5421525835990906,0.6539049744606018,0.7999288439750671
8,0.8861133456230164,0.5902619957923889,0.7619640231132507,0.4885496199131012,0.5950198769569397,0.7543067336082458,0.7703279852867126,0.6573063135147095,0.818398654460907,0.5422692894935608,0.651111364364624,0.8070297837257385
9,0.868757963180542,0.6022232174873352,0.7713330388069153,0.49866852164268494,0.6053780317306519,0.7620124220848083,0.7664952874183655,0.6588663458824158,0.8122132420539856,0.5505696535110474,0.6551852822303772,0.8083517551422119
10,0.852631151676178,0.6161996722221375,0.7744945287704468,0.506404459476471,0.612027108669281,0.7701212763786316,0.7632850408554077,0.66458660364151,0.8217275142669678,0.5548384189605713,0.6612404584884644,0.8092025518417358
11,0.8582640886306763,0.6076837778091431,0.7730551362037659,0.4992034435272217,0.6063297390937805,0.7646337747573853,0.7580841183662415,0.6713468432426453,0.8119377493858337,0.5488328337669373,0.653856098651886,0.8157255053520203
12,0.847186267375946,0.6141194701194763,0.7766185402870178,0.5026832222938538,0.6100443601608276,0.7691404819488525,0.7591251730918884,0.6729069352149963,0.8233338594436646,0.5482615232467651,0.6570128202438354,0.8135654926300049
13,0.8315325975418091,0.6186049580574036,0.7862858176231384,0.5067794322967529,0.6159605383872986,0.77451491355896,0.7486495971679688,0.6739469766616821,0.8439018130302429,0.5493614077568054,0.6642417907714844,0.812958836555481
14,0.8215368986129761,0.6325814127922058,0.7922483086585999,0.5164666175842285,0.6249670386314392,0.7804761528968811,0.7478609681129456,0.6749870181083679,0.8335872292518616,0.554702639579773,0.6650518178939819,0.8156211376190186
15,0.8146598935127258,0.6333615183830261,0.7955254316329956,0.5162723064422607,0.6258786916732788,0.7823920249938965,0.7466241121292114,0.6713468432426453,0.8250495791435242,0.5616976618766785,0.6673300862312317,0.8122301697731018
16,0.8088723421096802,0.6358317732810974,0.7950375080108643,0.5164838433265686,0.6258615851402283,0.7842914462089539,0.7427167892456055,0.6796671748161316,0.8229777216911316,0.5559897422790527,0.6625752449035645,0.8161972761154175
17,0.800494372844696,0.6417473554611206,0.8033652305603027,0.5190604329109192,0.630345344543457,0.7878134250640869,0.7449876070022583,0.6703068017959595,0.8201821446418762,0.5558243989944458,0.6615254878997803,0.8174975514411926
18,0.792320191860199,0.6460378170013428,0.8013622760772705,0.5215450525283813,0.6315097212791443,0.7900729775428772,0.7403666377067566,0.6791471838951111,0.8387024402618408,0.5589096546173096,0.6697266101837158,0.8135477304458618
19,0.786421537399292,0.6477280259132385,0.8126925826072693,0.5248699188232422,0.6374965906143188,0.7917099595069885,0.7545480132102966,0.6687467694282532,0.8148397207260132,0.5498379468917847,0.655430257320404,0.8191637396812439
20,0.7792680263519287,0.6457778215408325,0.808756947517395,0.5287477374076843,0.6390778422355652,0.7951327562332153,0.7445720434188843,0.6760270595550537,0.8114855885505676,0.5474869608879089,0.6526590585708618,0.8228978514671326
