,loss,accuracy,balanced_recall,balanced_precision,balanced_f1_score,auc_roc,val_loss,val_accuracy,val_balanced_recall,val_balanced_precision,val_balanced_f1_score,val_auc_roc
0,1.23410165309906,0.4466835558414459,0.5787794589996338,0.39341551065444946,0.46768438816070557,0.607002854347229,0.8885146975517273,0.5938637256622314,0.7043253779411316,0.49302786588668823,0.5790268778800964,0.7598928213119507
1,1.011012315750122,0.5341827273368835,0.6548120975494385,0.44640910625457764,0.5301212668418884,0.6875773668289185,0.8128058314323425,0.6292251944541931,0.722492516040802,0.5608924627304077,0.6307596564292908,0.8062979578971863
2,0.9432613253593445,0.5650176405906677,0.6780502200126648,0.4654829204082489,0.5513406991958618,0.7154662609100342,0.7867675423622131,0.6484659314155579,0.7541975378990173,0.5705370306968689,0.6487740278244019,0.8190327286720276
3,0.9100728034973145,0.5841946601867676,0.698353111743927,0.4723924994468689,0.5628801584243774,0.7271184921264648,0.772053599357605,0.6630265116691589,0.7400436401367188,0.5847459435462952,0.6526028513908386,0.8271522521972656
4,0.8817377686500549,0.5983228087425232,0.6994483470916748,0.48770543932914734,0.5739100575447083,0.7383827567100525,0.762429416179657,0.6671866774559021,0.7856816053390503,0.5665650367736816,0.657464861869812,0.8283966779708862
5,0.8636046051979065,0.6096773743629456,0.7098124027252197,0.4909418523311615,0.5796164870262146,0.7449806332588196,0.7542409300804138,0.6708268523216248,0.7554212212562561,0.5890445709228516,0.6611315608024597,0.8303815126419067
6,0.8447083234786987,0.6220503449440002,0.7153326272964478,0.5007208585739136,0.5883693695068359,0.7528548836708069,0.7474045157432556,0.6848673820495605,0.7842370271682739,0.5744336247444153,0.6627513766288757,0.8356727957725525
7,0.826677680015564,0.6308912634849548,0.7281623482704163,0.5019299387931824,0.5935452580451965,0.7591975927352905,0.7407382130622864,0.6729069352149963,0.7876654267311096,0.5839690566062927,0.6697789430618286,0.8308256268501282
8,0.8145928978919983,0.6402522325515747,0.7328569889068604,0.5095363259315491,0.6004116535186768,0.7654852867126465,0.7376371026039124,0.689547598361969,0.7798923254013062,0.5790037512779236,0.6642044186592102,0.8389182090759277
9,0.8005455136299133,0.6454527974128723,0.7509642839431763,0.5092505812644958,0.6062061190605164,0.7705670595169067,0.747108519077301,0.6864274740219116,0.7844035029411316,0.5532076954841614,0.6484116911888123,0.8337998986244202
10,0.7883167266845703,0.6548787355422974,0.7489931583404541,0.5159302353858948,0.6102206110954285,0.7748230695724487,0.7376899719238281,0.6926677227020264,0.805252194404602,0.5686284899711609,0.6662062406539917,0.835646390914917
11,0.7747557759284973,0.6600359678268433,0.7559327483177185,0.5188354849815369,0.614679753780365,0.7812556624412537,0.7460497617721558,0.6807072162628174,0.7963176965713501,0.5746139883995056,0.6673179268836975,0.8322420120239258
12,0.7588050961494446,0.6697436571121216,0.7676339745521545,0.5222861766815186,0.6208869814872742,0.787337064743042,0.7616095542907715,0.6838273406028748,0.786903977394104,0.5577965974807739,0.6523830890655518,0.8357372283935547
13,0.7475525140762329,0.6735574007034302,0.7612615823745728,0.531300961971283,0.6251084804534912,0.7913763523101807,0.7669811248779297,0.6900675892829895,0.789155900478363,0.5637009739875793,0.657390296459198,0.834255039691925
14,0.7297964096069336,0.6826800107955933,0.7763370275497437,0.5313243269920349,0.6301698684692383,0.797421395778656,0.7642102837562561,0.682787299156189,0.812174379825592,0.5672773718833923,0.6676543951034546,0.8319198489189148
