,Trial Name,Test Accuracy Score,Test Macro F1 Score,Test ROC AUC Score
0,Original Data,0.6895475819032761,0.6615269965582669,0.7559446883730452
1,Augmented SR 0.1,0.6931877275091004,0.6749158457455703,0.7613870452357565
2,Augmented RI 0.1,0.7067082683307332,0.6870332375340737,0.7709347153938179
3,Augmented RS 0.1,0.7067082683307332,0.6818179307458321,0.7689375638458115
4,Augmented RD 0.1,0.7119084763390535,0.6874972477989023,0.7720787548406568
5,Augmented All 0.1,0.703068122724909,0.6880821019117188,0.7715880818191824
6,Augmented All 0.5,0.7061882475299012,0.6809157430860475,0.7668161675684226
