,Trial Name,Test Accuracy Score,Test Macro F1 Score,Test ROC AUC Score
0,Original Data,0.6869474778991159,0.6715806567601238,0.756466364383049
1,Augmented SR 0.1,0.703068122724909,0.6800177667361864,0.765777968229207
2,Augmented RI 0.1,0.6973478939157566,0.6708643884695203,0.7599247976239578
3,Augmented RS 0.1,0.7134685387415497,0.6961252362990812,0.7779272064045336
4,Augmented RD 0.1,0.7009880395215808,0.6837627263172936,0.7659970871458687
5,Augmented All 0.1,0.7009880395215808,0.6719346518344875,0.7620278633843015
6,Augmented All 0.5,0.7020280811232449,0.6745017749714899,0.7655308124880859
