,loss,accuracy,balanced_recall,balanced_precision,balanced_f1_score,auc_roc,val_loss,val_accuracy,val_balanced_recall,val_balanced_precision,val_balanced_f1_score,val_auc_roc
0,1.1106244325637817,0.4923779368400574,0.6263291239738464,0.4299256503582001,0.5094462633132935,0.6562627553939819,0.8173578381538391,0.6432657241821289,0.7299050688743591,0.5295668244361877,0.6129411458969116,0.7798202037811279
1,0.9249288439750671,0.582485556602478,0.6967922449111938,0.4870741069316864,0.5728968381881714,0.7312049865722656,0.77190101146698,0.6671866774559021,0.7477588057518005,0.5351587533950806,0.6234580278396606,0.7973424792289734
2,0.8615845441818237,0.6168985366821289,0.7302257418632507,0.5095400810241699,0.5998194217681885,0.7583141326904297,0.7584479451179504,0.6734269261360168,0.7625831961631775,0.5470110774040222,0.636857271194458,0.8010873794555664
3,0.819060206413269,0.6402685046195984,0.7525579929351807,0.5263469815254211,0.619025707244873,0.7769991159439087,0.7605459094047546,0.6791471838951111,0.7807738780975342,0.5634079575538635,0.6536898612976074,0.7871518135070801
4,0.7859926223754883,0.6583078503608704,0.775347888469696,0.538362443447113,0.6350553631782532,0.7902029752731323,0.7591986060142517,0.6911076307296753,0.7826744318008423,0.5459488034248352,0.6429545283317566,0.8002814650535583
5,0.7532660365104675,0.6752908825874329,0.7914596199989319,0.5494565963745117,0.6482321619987488,0.8033391833305359,0.7589753270149231,0.6931877136230469,0.7950045466423035,0.5503758788108826,0.6501904129981995,0.8005815744400024
6,0.7230397462844849,0.691241979598999,0.8081017136573792,0.5567830204963684,0.6589201092720032,0.8138728141784668,0.7865870594978333,0.6833073496818542,0.7892324924468994,0.5489792823791504,0.6472927331924438,0.7935522198677063
7,0.6914234161376953,0.7065185308456421,0.8253040313720703,0.5663679838180542,0.6713303327560425,0.8257315754890442,0.8019381165504456,0.682787299156189,0.7862942814826965,0.5469353199005127,0.644785463809967,0.7968193888664246
8,0.6616233587265015,0.7218033075332642,0.8396245837211609,0.5734766125679016,0.681128203868866,0.8349859714508057,0.8429922461509705,0.6786271333694458,0.7864954471588135,0.5495579838752747,0.6466498374938965,0.7904935479164124
9,0.6288291215896606,0.7378599643707275,0.8519273400306702,0.5797726511955261,0.689617931842804,0.8433380722999573,0.8830558061599731,0.6755070090293884,0.7820042371749878,0.5439715385437012,0.6412613987922668,0.7890601754188538
