,Trial Name,Test Accuracy Score,Test Macro F1 Score,Test ROC AUC Score
0,Original Data,0.6978679147165887,0.6842491724752172,0.7655007433032713
1,Augmented SR 0.1,0.6921476859074362,0.6631035689524537,0.7567950723219862
2,Augmented RI 0.1,0.6994279771190848,0.6773339786314122,0.7640365485218573
3,Augmented RS 0.1,0.6859074362974519,0.6649929425804332,0.753007105657349
4,Augmented RD 0.1,0.6905876235049402,0.6723502557091474,0.7580455413078991
5,Augmented All 0.1,0.6853874154966199,0.6633189159557338,0.7536087464601051
6,Augmented All 0.5,0.6994279771190848,0.6826490851222173,0.7659765776488959
